,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS
94,WESTFIELD STATE COLLEGE,PO BOX 1630,WESTFIELD,MA,1086,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PUBLIC,>2000,102.0
95,NOBLE HOSPITAL,PO BOX 1634,WESTFIELD,MA,1086,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,102.0
96,BRIGHTSIDE FOR FAMILIES AND CHILDREN,2112 RIVERDALE ST,WEST SPRINGFIELD,MA,1089,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
97,CHILD AND FAMILY SERVICES-SUBSTANCE ABS,425 UNION ST,WEST SPRINGFIELD,MA,1089,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
98,WINGATE AT WEST SPRINGFIELD,42 PROSPECT AVE,WEST SPRINGFIELD,MA,1089,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0
99,WARREN SENIOR CENTER,PO BOX 428,WEST WARREN,MA,1092,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
100,WILBRAHAM COA SENIOR CENTER,45B POST OFFICE PARK,WILBRAHAM,MA,1095,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
101,LIFE CARE CENTER OF WILBRAHAM,2399 BOSTON RD,WILBRAHAM,MA,1095,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,118.0
102,WINGATE AT WILBRAHAM,9 MAPLE ST,WILBRAHAM,MA,1095,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,127.0
103,SALVATION ARMY ADULT REHAB CENTER-AODA,PO BOX 1569,SPRINGFIELD,MA,1101,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
104,SPRINGFIELD TECHNICAL COMMUNITY COLLEGE,PO BOX 9000,SPRINGFIELD,MA,1102,25013,HAMPDEN,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,102.0
105,MERCY MEDICAL CENTER,PO BOX 9012,SPRINGFIELD,MA,1102,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,102.0
106,SPRINGFIELD COA SENIOR CENTER,1600 E COLUMBUS AVE,SPRINGFIELD,MA,1103,25013,HAMPDEN,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
107,COMMUNITY CARE MENTAL HEALTH-SBSTNC ABS,273 STATE ST,SPRINGFIELD,MA,1103,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
108,CHILDRENS REHAB SVCS-THE WELDON CENTER,233 CAREW ST,SPRINGFIELD,MA,1104,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
109,SHRINERS HOSPITAL FOR CHILDREN,516 CAREW ST,SPRINGFIELD,MA,1104,25013,HAMPDEN,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,SELF-OPERATED,UNCODED,501 TO 1000,102.0
110,CHAPIN CENTER,200 KENDALL ST,SPRINGFIELD,MA,1104,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,142.0
111,GANDARA MENTAL HEALTH CENTER-AODA PRGMS,2155 MAIN ST,SPRINGFIELD,MA,1104,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
112,SPRINGFIELD YMCA SCHOOLS OUT,275 CHESTNUT ST,SPRINGFIELD,MA,1104,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
113,THREE RIVERS RESIDENTIAL TREATMENT,26 RIDGEWOOD TER,SPRINGFIELD,MA,1105,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
114,PHOENIX HOUSE SPRINGFIELD CTR-SBSTNC ABS,5 MADISON AVE,SPRINGFIELD,MA,1105,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
115,PHOENIX ACADEMY-SUBSTANCE ABUSE TRTMNT,33 MULBERRY ST,SPRINGFIELD,MA,1105,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
116,NRTHRN EDUC SVC ETHOS RECOVERY HOME AODA,56 TEMPLE ST,SPRINGFIELD,MA,1105,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
117,CHILD-FAMILY SERVICE PIONEER VALLEY AODA,367 PINE ST,SPRINGFIELD,MA,1105,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PUBLIC,51 TO 100,102.0
118,JULIAN J LEAVITT FAMILY JEWISH NRSG HOME,770 CONVERSE ST,LONGMEADOW,MA,1106,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,196.0
119,LONGMEADOW PUBLIC SCHOOLS,127 GRASSY GUTTER RD,LONGMEADOW,MA,1106,25013,HAMPDEN,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,COMPASS,PUBLIC,>2000,102.0
120,BAY PATH COLLEGE,588 LONGMEADOW ST,LONGMEADOW,MA,1106,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,501 TO 1000,102.0
121,GREENWOOD CHILDRENS CENTER-EXTENDED DAY,231 MAPLE RD,LONGMEADOW,MA,1106,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
122,HABIT MANAGEMENT INSTITUTE-METH SERVICES,2257 MAIN ST,SPRINGFIELD,MA,1107,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
123,GANDARA ADDICTION RECOVERY PROGRAM,29 ARCH ST,SPRINGFIELD,MA,1107,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
124,SISTERS OF PROVIDENCE METHADONE PROGRAM,227 MILL ST,SPRINGFIELD,MA,1108,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
125,MY SISTERS HOUSE-SUBSTANCE ABUSE SERVICE,89 BELMONT AVE,SPRINGFIELD,MA,1108,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
126,SPRINGFIELD JEWISH COMM CTR PRE-K,1160 DICKINSON ST,SPRINGFIELD,MA,1108,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
127,REEDS LANDING HEALTH CENTER,807 WILBRAHAM RD,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,>2000,38.0
128,KINDRED HOSPITAL-PARKVIEW,1400 STATE ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,PRIVATE,>2000,25.8
129,MARTIN LUTH KING COMMUNITY CTR CHILDCARE,106 WILBRAHAM RD,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
130,AMERICAN INTERNATIONAL COLLEGE,1000 STATE ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,1001 TO 2000,102.0
131,EARLY CHILDHOOD CENTERS OF GREATER SPRIN,15 CATHARINE ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
132,CHILDREN STUDY HOME RES TREATMENT CENTER,44 SHERMAN ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
133,WILLIAM N DEBERRY ELEMENTARY SCHOOL,670 UNION ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,102.0
134,SPRINGFIELD COLLEGE,263 ALDEN ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,102.0
135,OPPORTUNITY HOUSE-SUBSTANCE ABUSE PRGMS,61 SAINT JAMES AVE,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
136,KEY PROGRAM-RESIDENTIAL TREATMENT CENTER,576 STATE ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
137,NORTHERN EDUCATIONAL SVCS ETHOS III-AODA,736 STATE ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
138,DUNBAR COMMUNITY CENTER,33 OAK ST,SPRINGFIELD,MA,1109,25013,HAMPDEN,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,102.0
139,WINDGATE AT SPRINGFIELD,215 BICENTENNIAL HWY,SPRINGFIELD,MA,1118,25013,HAMPDEN,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,110.0
140,WESTERN NEW ENGLAND COLLEGE,1215 WILBRAHAM RD,SPRINGFIELD,MA,1119,25013,HAMPDEN,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,102.0
141,SHARP I-RESIDENTIAL TREATMENT,111 OLD ACRE RD,SPRINGFIELD,MA,1129,25013,HAMPDEN,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
142,MOUNT GREYLOCK EXTENDED CARE FACILITY,1000 NORTH ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,93.0
143,BERKSHIRE COUNTY SHERIFFS DEPT-JAIL,467 CHESHIRE RD,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
144,HILLCREST COMMONS NURSING AND REHAB,169 VALENTINE RD,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,244.0
145,BERKSHIRE MEDICAL CENTER,725 NORTH ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,152.6
146,BRIEN CENTER KEENAN HOUSE-SBSTNC ABUSE,131 BRADFORD ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
147,CHRISTIAN CENTER-SUBSTANCE ABUSE SVCS,193 ROBBINS AVE,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
148,KEENAN HOUSE-SUBSTANCE ABUSE TREATMENT,202 BRADFORD ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
149,RALPH FROIO SENIOR CENTER,330 NORTH ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
150,BMC-MENTAL HEALTH -SBSTNC ABUSE PROGRAM,251 FENN ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
151,MILDRED ELLEY BUSINESS SCHOOL,505 EAST ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,102.0
152,BEHAVIORAL TREATMENT RESIDENCE,484 WEST ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
153,EMERGENCY SHELTER-RESIDENTIAL TREATMENT,369 WEST ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
154,BERKSHIRE COMMUNITY COLLEGE,1350 WEST ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,102.0
155,BERKSHIRE PLACE,89 SOUTH ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,22.0
156,THE CHILDRENS HOUSE-RES TREATMENT,753 WILLIAMS ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
157,KEY PROGRAM-HOWARD HOUSE RES TRTMNT CTR,942 WILLIAMS ST,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
158,SPRINGSIDE OF PITTSFIELD FACILITY,255 LEBANON AVE,PITTSFIELD,MA,1201,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,88.0
159,HILLCREST EDUCATIONAL CTRS-RES TREATMENT,PO BOX 4699,PITTSFIELD,MA,1202,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
160,ADAMS COUNCIL ON AGING-SENIOR CENTER,20 EAST ST,ADAMS,MA,1220,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
161,CHESHIRE SENIOR CITIZENS CLUB,19 SCHOOL ST,CHESHIRE,MA,1225,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
162,ADAMS-CHESHIRE REGIONAL SCHOOL DISTRICT,125 SAVOY RD,CHESHIRE,MA,1225,25003,BERKSHIRE,6320.0,SCHOOL DISTRICTS,251-500,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
163,DALTON COUNCIL ON AGING-SENIOR NUTRITION,400 MAIN ST,DALTON,MA,1226,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
164,CRANEVILLE PLACE OF DALTON,265 MAIN ST,DALTON,MA,1226,25003,BERKSHIRE,6320.0,ASSISTED LIVING,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,86.0
165,FAIRVIEW COMMONS NURSING-REHAB CENTER,151 CHRISTIAN HILL RD,GREAT BARRINGTON,MA,1230,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,117.0
166,MENTAL HEALTH-SBSTNC ABUSE OF BERKSHIRES,60 COTTAGE ST,GREAT BARRINGTON,MA,1230,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
167,EAGLETON SCHOOL RESIDENTIAL TREATMENT,446 MONTEREY RD,GREAT BARRINGTON,MA,1230,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,102.0
168,FAIRVIEW HOSPITAL,29 LEWIS AVE,GREAT BARRINGTON,MA,1230,25003,BERKSHIRE,6320.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,102.0
169,GREAT BARRINGTON REHAB AND NURSING CTR,148 MAPLE AVE,GREAT BARRINGTON,MA,1230,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,87.0
170,CLAIRE TEAGUE SENIOR CENTER,909 1/2 MAIN ST,GREAT BARRINGTON,MA,1230,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
171,THE KOLBURNE SCHOOL,343 NEW MARLBORO SOUTHFIELD RD,NEW MARLBOROUGH,MA,1230,25003,BERKSHIRE,6320.0,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,102.0
172,SIMONS ROCK COLLEGE OF BARD,84 ALFORD RD,GREAT BARRINGTON,MA,1230,25003,BERKSHIRE,6320.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PRIVATE,251 TO 500,102.0
173,BERKSHIRE HILLS REGIONAL SCHOOL DISTRICT,PO BOX 596,HOUSATONIC,MA,1236,25003,BERKSHIRE,6320.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,102.0
174,BERKSHIRE MEADOWS RESIDENTIAL TREATMENT,249 N PLAIN RD,HOUSATONIC,MA,1236,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
175,LAUREL LAKE CTR HEALTH AND REHAB,620 LAUREL ST,LEE,MA,1238,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,84.0
176,VALLEYHEAD RESIDENTIAL TREATMENT CENTER,PO BOX 714,LENOX,MA,1240,25003,BERKSHIRE,6320.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
177,KIMBALL FARMS NURSING CARE CENTER,40 SUNSET AVE,LENOX,MA,1240,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,1001 TO 2000,73.0
178,PROVIDENCE CARE CENTER OF LENOX,320 PITTSFIELD RD,LENOX,MA,1240,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63.0
179,COMMUNITY SENIOR CENTER,65 WALKER ST,LENOX,MA,1240,25003,BERKSHIRE,6320.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
180,LENOX PUBLIC SCHOOLS,6 WALKER ST,LENOX,MA,1240,25003,BERKSHIRE,6320.0,SCHOOL DISTRICTS,1-250,501 TO 1000,NOT APPLICABLE,2,UNCODED,PUBLIC,501 TO 1000,102.0
181,THE BRIEN CTR FOR MNTL HLTH-SBSTNC ABUSE,25 MARSHALL ST,NORTH ADAMS,MA,1247,25003,BERKSHIRE,6320.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,102.0
182,NORTH ADAMS REGIONAL HOSPITAL,71 HOSPITAL AVE,NORTH ADAMS,MA,1247,25003,BERKSHIRE,6320.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,28.1
183,NORTH ADAMS COMMON,175 FRANKLIN ST,NORTH ADAMS,MA,1247,25003,BERKSHIRE,6320.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,111.0
184,NORTH BERKSHIRE REGIONAL VOCATIONAL DIST,70 HODGES CROSSROADS,NORTH ADAMS,MA,1247,25003,BERKSHIRE,6320.0,SCHOOL DISTRICTS,1-250,251 TO 500,NOT APPLICABLE,1,UNCODED,PUBLIC,251 TO 500,102.0
185,MASSACHUSETTS COLLEGE OF LIBERAL ARTS,375 CHURCH ST,NORTH ADAMS,MA,1247,25003,BERKSHIRE,6320.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PUBLIC,1001 TO 2000,102.0
